copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01
926_3,0,142988,0,153291,0,0,146113,148880,166959,154851,152685,147522,0,144350,151903,153942,0,0,0,149928,0,0,0,150426
927_1,114494,121947,0,118046,0,112940,116397,0,120666,117600,112002,120068,115743,121628,122563,123944,164733,119136,0,120564,111297,0,118773,120921
927_2,116397,123944,120564,118046,0,120068,121947,115743,121628,0,112002,119136,0,112940,120666,111297,118773,0,0,164733,117600,120921,114494,122563
927_3,0,111297,0,112002,118046,120666,120564,120921,164733,115743,121947,122563,120068,112940,121628,119136,0,0,123944,114494,0,116397,118773,117600
928_1,116042,115424,0,112386,0,106876,114792,0,113657,114288,107813,111497,109426,115768,116287,115201,112637,110984,116961,108617,105695,0,117598,110114
928_2,114792,115201,108617,112386,0,111497,115424,109426,115768,116961,107813,110984,0,106876,113657,105695,117598,0,0,112637,114288,110114,116042,116287
928_3,0,105695,0,107813,112386,113657,108617,110114,112637,109426,115424,116287,111497,106876,115768,110984,0,116961,115201,116042,0,114792,117598,114288
929_1,104432,104998,0,113120,0,103381,106566,0,108819,111121,105366,107698,111189,109376,102217,113056,108268,106025,0,102896,101390,0,109895,110564
929_2,106566,113056,102896,113120,0,107698,104998,111189,109376,0,105366,106025,0,103381,108819,101390,109895,0,0,108268,111121,110564,104432,102217
929_3,0,101390,0,105366,113120,108819,102896,110564,108268,111189,104998,102217,107698,103381,109376,106025,0,0,113056,104432,0,106566,109895,111121
92_1,98147,96420,0,104798,0,115697,97297,0,101153,100060,99731,105793,103784,104307,102282,356806,102827,102343,107681,97793,105779,0,103798,94877
