copy_id,driver1_y,driver2_y,driver3_y,driver4_y,driver5_y,driver6_y,driver7_y,driver8_y,driver9_y,driver10_y,driver11_y,driver12_y,driver13_y,driver14_y,driver15_y,driver16_y,driver17_y,driver18_y,driver19_y,driver20_y,driver21_y,driver22_y,driver23_y,driver24_y
131_1,1,7,25,25,25,4,25,25,13,5,11,25,2,10,6,25,3,15,14,9,12,25,8,25
132_1,2,4,25,10,25,3,12,25,13,25,15,25,25,16,8,11,1,5,25,6,7,14,9,25
134_1,25,4,25,25,25,2,25,25,25,5,8,11,3,25,25,25,1,6,25,25,7,25,10,9
135_1,1,3,25,25,25,25,25,25,25,25,25,25,5,8,25,9,4,25,25,7,6,25,25,2
138_1,25,2,25,6,25,25,25,25,13,8,25,11,7,12,4,25,1,5,25,25,10,25,3,9
139_1,4,2,25,12,25,25,25,25,10,1,8,25,5,11,25,14,16,7,15,3,9,25,13,6
13_1,25,4,25,9,25,7,8,25,25,11,3,13,6,16,10,15,14,25,25,5,12,25,1,2
141_1,5,7,25,9,25,12,8,25,25,1,13,25,25,6,25,25,25,3,25,2,4,25,11,10
143_1,4,7,25,25,25,25,25,25,25,2,6,9,5,25,10,25,25,25,25,1,3,25,8,11
144_1,8,25,25,9,25,25,11,25,4,25,3,25,12,2,25,10,25,1,25,5,7,25,25,6
145_1,3,2,25,11,25,13,12,25,25,25,14,9,4,8,15,16,1,25,25,5,6,25,10,7
146_1,25,8,25,11,25,25,6,25,7,2,3,25,25,4,25,25,25,25,25,1,9,25,10,5
147_1,25,25,25,25,25,10,8,25,3,1,2,25,7,5,25,25,4,25,9,25,25,25,6,25
148_1,25,7,25,5,25,25,8,25,9,25,2,25,25,11,1,25,6,25,25,25,4,25,3,10
149_1,9,2,25,25,25,14,25,25,12,4,11,15,25,10,13,7,1,5,6,3,25,25,25,8
14_1,25,25,25,13,25,25,4,25,14,2,10,25,7,11,9,25,12,8,25,3,1,25,6,5
150_1,14,25,25,13,25,17,8,25,12,2,11,25,5,7,16,15,1,3,25,4,6,25,10,9
152_1,7,3,25,6,25,25,25,25,25,25,2,25,5,25,4,8,25,1,25,25,10,25,25,9
153_1,9,8,25,25,25,25,25,25,25,4,25,10,25,7,25,5,1,2,25,3,6,25,12,11
154_1,6,10,25,12,25,25,13,25,25,11,1,25,5,25,7,25,9,8,25,3,2,25,25,4
155_1,9,5,25,25,25,13,25,25,25,1,3,12,10,7,2,25,6,4,25,25,11,25,25,25
156_1,12,25,25,25,25,25,10,25,5,2,15,1,9,3,8,13,25,25,14,4,6,25,7,11
157_1,13,25,25,25,25,11,15,25,4,2,6,14,17,3,5,25,10,1,16,7,9,25,25,12
160_1,14,12,25,2,25,3,7,25,6,5,9,8,4,15,25,10,25,1,25,11,25,25,13,25
161_1,25,25,25,25,11,1,17,25,13,3,4,2,7,6,25,15,16,9,8,5,25,12,10,14
162_1,14,8,25,11,25,2,25,25,15,5,4,7,9,12,3,13,25,10,25,17,16,25,1,6
163_1,25,25,25,2,25,10,25,25,25,6,1,7,25,5,12,11,25,25,25,4,3,25,8,9
165_1,8,25,25,5,10,7,25,25,13,1,14,4,3,6,2,12,15,9,25,11,25,25,25,16
166_1,25,25,25,25,11,1,7,25,13,25,5,2,9,6,3,25,4,25,10,8,12,25,14,15
167_1,11,25,25,12,25,2,1,25,9,25,4,7,25,5,10,25,8,25,25,3,25,25,6,25
168_1,25,25,25,10,25,3,25,25,11,6,25,5,1,9,7,25,25,8,25,4,12,25,2,25
169_1,14,16,25,13,25,3,6,25,8,2,5,1,25,7,4,25,12,11,10,9,25,25,25,15
170_1,14,12,25,25,8,4,15,25,1,7,13,17,25,5,3,9,16,2,11,25,25,25,10,6
