copy_id,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1027_2,12,17,2,14,0,7,11,18,16,3,8,9,0,13,1,4,19,0,0,15,5,6,20,10
1027_3,0,4,0,8,14,1,2,6,15,18,11,10,7,13,16,9,0,3,17,20,0,12,19,5
1028_2,14,16,13,7,0,17,2,10,18,0,5,1,0,9,6,3,4,0,0,11,12,19,8,15
1028_3,0,3,0,5,7,6,13,19,11,10,2,15,17,9,18,1,0,0,16,8,0,14,4,12
1029_2,12,19,3,10,0,11,16,9,18,5,14,20,0,8,6,2,7,0,0,17,4,13,1,15
102_1,1,2,0,18,0,3,14,0,15,5,6,17,16,11,10,19,8,12,20,7,13,0,9,4
102_2,14,19,7,18,0,17,2,16,11,20,6,12,0,3,15,13,9,0,0,8,5,4,1,10
102_3,0,13,0,6,18,15,7,4,8,16,2,10,17,3,11,12,0,20,19,1,0,14,9,5
1030_1,3,13,0,18,0,12,19,0,2,10,9,15,14,16,8,17,11,7,5,4,1,0,20,6
1030_2,19,17,4,18,0,15,13,14,16,5,9,7,0,12,2,1,20,0,0,11,10,6,3,8
1030_3,0,1,0,9,18,2,4,6,11,14,13,8,15,12,16,7,0,5,17,3,0,19,20,10
1031_1,16,8,0,12,0,17,15,0,5,13,1,19,6,10,11,4,2,14,20,18,3,0,7,9
1031_3,0,3,0,1,12,5,18,9,2,6,8,11,19,17,10,14,0,20,4,16,0,15,7,13
1032_1,9,6,0,10,0,16,8,0,4,2,14,17,7,15,3,0,5,12,0,11,1,0,18,13
1032_2,8,0,11,10,0,17,6,7,15,0,14,12,0,16,4,1,18,0,0,5,2,13,9,3
1032_3,0,1,0,14,10,4,11,13,5,7,6,3,17,16,15,12,0,0,0,9,0,8,18,2
1033_1,16,12,0,14,0,15,19,0,18,13,6,17,10,8,11,9,2,3,20,5,1,0,7,4
1033_2,19,9,5,14,0,17,12,10,8,20,6,3,0,15,18,1,7,0,0,2,13,4,16,11
1033_3,0,1,0,6,14,18,5,4,2,10,12,11,17,15,8,3,0,20,9,16,0,19,7,13
1034_3,0,1,0,13,7,18,14,11,9,6,8,2,17,15,10,3,0,0,0,12,0,4,16,5
1035_1,10,9,0,14,0,15,17,0,7,11,1,18,4,13,6,16,3,19,20,12,2,0,8,5
1035_2,17,16,12,14,0,18,9,4,13,20,1,19,0,15,7,2,8,0,0,3,11,5,10,6
1036_1,16,7,0,8,0,15,19,0,10,12,3,17,5,11,13,6,2,14,20,18,1,0,9,4
1036_2,19,6,18,8,0,17,7,5,11,20,3,14,0,15,10,1,9,0,0,2,12,4,16,13
1037_1,7,5,0,10,0,14,13,0,17,11,2,0,9,12,4,0,3,16,0,15,1,0,6,8
1037_3,0,1,0,2,10,17,15,8,3,9,5,4,0,14,12,16,0,0,0,7,0,13,6,11
1038_1,8,9,0,13,0,12,10,0,17,7,19,14,5,16,6,18,2,11,0,4,1,0,3,15
1038_2,10,18,4,13,0,14,9,5,16,0,19,11,0,12,17,1,3,0,0,2,7,15,8,6
1038_3,0,1,0,19,13,17,4,15,2,5,9,6,14,12,16,11,0,0,18,8,0,10,3,7
1039_1,11,8,0,0,0,10,0,0,0,4,2,0,5,13,6,0,3,9,0,12,1,0,0,7
1039_2,0,0,12,0,0,0,8,5,13,0,2,9,0,10,0,1,0,0,0,3,4,7,11,6
103_1,14,4,0,12,0,1,8,0,0,13,9,0,3,2,5,0,6,7,0,11,15,0,16,10
103_3,0,15,0,9,12,0,11,10,6,3,4,5,0,1,2,7,0,0,0,14,0,8,16,13
